latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
156,-98,1887,-107374182,24,2023-04-24 16:25:37.601518
245,-97,2031,-107374182,27,2023-04-24 16:25:38.037429
187,-101,1922,-107374182,36,2023-04-24 16:25:38.444016
88,-102,2298,-107374182,45,2023-04-24 16:25:38.821712
88,-102,2463,-107374182,51,2023-04-24 16:25:39.176683
88,-102,2233,-107374182,51,2023-04-24 16:25:39.565702
88,-102,2019,-107374182,45,2023-04-24 16:25:39.934074
88,-103,1862,-107374182,39,2023-04-24 16:25:40.288279
135,-100,1940,-107374182,30,2023-04-24 16:25:40.732819
223,-94,2159,-107374182,24,2023-04-24 16:25:41.198582
243,-102,2096,-107374182,33,2023-04-24 16:25:41.628281
115,-104,2129,-107374182,42,2023-04-24 16:25:42.021078
115,-104,2644,-107374182,51,2023-04-24 16:25:42.424023
115,-104,2439,-107374182,54,2023-04-24 16:25:42.810523
115,-104,2205,-107374182,45,2023-04-24 16:25:43.206401
115,-103,2034,-107374182,39,2023-04-24 16:25:43.570749
185,-97,2191,-107374182,30,2023-04-24 16:25:44.000610
262,-94,2759,-107374182,24,2023-04-24 16:25:44.448173
278,-102,2600,-107374182,33,2023-04-24 16:25:44.863737
119,-103,2518,-107374182,39,2023-04-24 16:25:45.266410
119,-102,3217,-107374182,48,2023-04-24 16:25:45.663226
119,-102,3009,-107374182,54,2023-04-24 16:25:46.071497
119,-102,2776,-107374182,45,2023-04-24 16:25:46.497981
119,-103,2509,-107374182,39,2023-04-24 16:25:46.870980
150,-100,2515,-107374182,30,2023-04-24 16:25:47.324704
241,-92,2764,-107374182,24,2023-04-24 16:25:47.776093
252,-100,2604,-107374182,33,2023-04-24 16:25:48.219656
173,-102,2509,-107374182,42,2023-04-24 16:25:48.606158
173,-102,3043,-107374182,48,2023-04-24 16:25:49.008602
173,-102,2821,-107374182,54,2023-04-24 16:25:49.396604
173,-102,2550,-107374182,48,2023-04-24 16:25:49.786636
173,-103,2305,-107374182,39,2023-04-24 16:25:50.186495
99,-100,2428,-107374182,30,2023-04-24 16:25:50.630331
178,-94,2485,-107374182,24,2023-04-24 16:25:51.090334
209,-102,2346,-107374182,36,2023-04-24 16:25:51.592542
85,-103,2353,-107374182,42,2023-04-24 16:25:51.983650
85,-103,2634,-107374182,51,2023-04-24 16:25:52.358916
85,-103,2389,-107374182,54,2023-04-24 16:25:52.740212
85,-103,2159,-107374182,45,2023-04-24 16:25:53.140661
85,-104,1952,-107374182,39,2023-04-24 16:25:53.541969
116,-101,2054,-107374182,30,2023-04-24 16:25:53.977232
233,-92,2260,-107374182,24,2023-04-24 16:25:54.433884
230,-100,2154,-107374182,33,2023-04-24 16:25:54.876332
142,-104,2199,-107374182,42,2023-04-24 16:25:55.289610
142,-104,2554,-107374182,51,2023-04-24 16:25:55.683176
142,-104,2324,-107374182,54,2023-04-24 16:25:56.070608
142,-104,2100,-107374182,45,2023-04-24 16:25:56.467958
142,-101,1898,-107374182,36,2023-04-24 16:25:56.856085
156,-100,2011,-107374182,27,2023-04-24 16:25:57.314982
232,-94,2193,-107374182,27,2023-04-24 16:25:57.786075
262,-100,2113,-107374182,36,2023-04-24 16:25:58.214235
133,-103,2326,-107374182,42,2023-04-24 16:25:58.605288
133,-103,2897,-107374182,51,2023-04-24 16:25:58.990378
133,-103,2656,-107374182,54,2023-04-24 16:25:59.376978
133,-103,2401,-107374182,45,2023-04-24 16:25:59.763804
133,-103,2170,-107374182,39,2023-04-24 16:26:00.169000
165,-99,2367,-107374182,27,2023-04-24 16:26:00.656310
267,-95,2707,-107374182,27,2023-04-24 16:26:01.113344
249,-100,2546,-107374182,36,2023-04-24 16:26:01.543145
224,-104,2663,-107374182,42,2023-04-24 16:26:01.955666
224,-104,3265,-107374182,51,2023-04-24 16:26:02.350021
224,-104,2967,-107374182,51,2023-04-24 16:26:02.752683
224,-104,2682,-107374182,45,2023-04-24 16:26:03.150381
224,-102,2425,-107374182,36,2023-04-24 16:26:03.531912
123,-97,2562,-107374182,27,2023-04-24 16:26:04.031077
219,-96,2521,-107374182,27,2023-04-24 16:26:04.477459
184,-104,2354,-107374182,36,2023-04-24 16:26:04.924405
147,-103,2557,-107374182,45,2023-04-24 16:26:05.332470
147,-103,2701,-107374182,54,2023-04-24 16:26:05.730656
147,-103,2442,-107374182,51,2023-04-24 16:26:06.129216
147,-103,2207,-107374182,42,2023-04-24 16:26:06.520665
220,-103,2065,-107374182,36,2023-04-24 16:26:06.928651
129,-96,2355,-107374182,24,2023-04-24 16:26:07.455170
210,-99,2273,-107374182,30,2023-04-24 16:26:07.901325
174,-102,2124,-107374182,39,2023-04-24 16:26:08.322944
89,-104,2501,-107374182,48,2023-04-24 16:26:08.752026
89,-104,2336,-107374182,54,2023-04-24 16:26:09.155423
89,-104,2155,-107374182,48,2023-04-24 16:26:09.562306
89,-104,1909,-107374182,39,2023-04-24 16:26:09.986317
161,-98,1970,-107374182,30,2023-04-24 16:26:10.464327
236,-93,2328,-107374182,24,2023-04-24 16:26:10.944441
250,-100,2198,-107374182,33,2023-04-24 16:26:11.395696
92,-104,2307,-107374182,42,2023-04-24 16:26:11.825537
92,-104,2761,-107374182,51,2023-04-24 16:26:12.249234
92,-104,2510,-107374182,54,2023-04-24 16:26:12.657747
92,-104,2269,-107374182,45,2023-04-24 16:26:13.043383
92,-102,2051,-107374182,36,2023-04-24 16:26:13.445971
175,-99,2099,-107374182,27,2023-04-24 16:26:13.917123
265,-97,2395,-107374182,27,2023-04-24 16:26:14.399586
234,-101,2267,-107374182,36,2023-04-24 16:26:14.856326
