raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
1792,-96,1915,190.7603820000004,0
2840,-102,1965,191.15445799999725,0
2292,-95,1996,191.46946200000093,0
2290,-103,2001,191.77990999999747,0
1250,-99,1980,192.1527969999952,0
1166,-92,1919,192.49838399999862,0
1190,-102,1854,192.8228620000009,0
1220,-91,1818,193.16640699999698,0
1470,-99,1768,193.52956599999743,0
2422,-102,1772,193.89353899999696,0
2676,-93,1833,194.26929699999891,0
2430,-101,1869,194.55347600000096,0
1642,-99,1878,194.94244899999467,0
2032,-90,1896,195.32548799999495,0
1692,-103,1888,195.6504319999949,0
1192,-99,1848,195.98482700000022,0
1626,-98,1817,196.30692199999612,0
1466,-101,1789,196.65030699999625,0
2130,-93,1804,196.9873179999995,0
1612,-103,1796,197.3275749999957,0
1972,-96,1796,197.6616939999949,0
3079,-101,1880,197.9546279999995,0
2236,-96,1950,198.24049999999988,0
1992,-96,1945,198.61487399999896,0
3075,-103,1973,198.92702799999824,0
3037,-92,2064,199.26110699999845,0
1996,-103,2078,199.59296199999517,0
1750,-98,2060,199.94873999999982,0
2070,-93,2059,200.2727509999968,0
1780,-101,2060,200.5963139999949,0
2160,-90,2070,200.9213699999964,0
1680,-103,2043,201.21689299999707,0
1580,-93,2012,201.49078599999484,0
2990,-106,2032,201.81363399999827,0
2486,-94,2085,202.1499599999952,0
1790,-98,2059,202.49410599999828,0
1686,-100,2019,202.8372029999955,0
2546,-90,2056,203.1911439999967,0
1450,-103,2020,203.51531399999658,0
1492,-98,1988,203.9036999999953,0
2300,-92,1987,204.31002799999987,0
2212,-94,2016,204.82489999999962,0
2356,-101,2021,205.227304,0
1712,-100,1982,205.62179399999877,0
1530,-96,1961,206.06414699999732,0
1472,-90,1877,206.52841099999932,0
1740,-98,1847,206.93284099999437,0
2230,-102,1873,207.3156239999953,0
2594,-96,1962,207.77918099999806,0
3140,-95,2109,208.27414999999746,0
1572,-96,2091,208.70810999999958,0
2442,-102,2080,209.11336099999608,0
1402,-102,2062,209.55840099999477,0
1656,-96,2021,210.00095199999487,0
1262,-94,1952,210.46418699999776,0
1936,-95,1921,210.9238139999943,0
1586,-103,1899,211.29422399999748,0
2263,-93,1896,211.6106709999949,0
3062,-100,1999,211.9719169999953,0
2426,-101,2050,212.32328499999858,0
2076,-90,2057,212.7000179999959,0
1916,-103,2044,213.02291400000104,0
1310,-100,2013,213.3878379999951,0
1772,-94,1962,213.75190699999803,0
1970,-103,1954,214.08181599999807,0
1927,-94,1950,214.4562519999963,0
2785,-99,2004,214.77968699999474,0
2231,-100,2051,215.09285899999668,0
1040,-93,2023,215.39955299999565,0
3397,-103,2020,215.7167499999996,0
3638,-90,2153,216.08117299999867,0
1470,-103,2143,216.39517199999682,0
1312,-98,2083,216.7491119999977,0
2026,-94,2062,217.09134799999447,0
3110,-102,2116,217.41526699999667,0
3202,-91,2199,217.79770099999587,0
2320,-100,2229,218.11175499999808,0
1572,-99,2196,218.445968,0
2202,-93,2194,218.78599199999735,0
